Generation,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
78,284,183,101,84,51,60,53,31,37,33,23,19,24,5,8,2,2,0,0
79,281,183,99,74,66,53,53,45,29,40,23,19,15,13,3,2,2,0,0
80,313,175,81,70,63,68,44,43,40,24,29,11,16,15,6,1,1,0,0
81,309,177,87,67,69,58,57,35,40,30,23,19,8,11,7,2,1,0,0
82,287,181,93,64,61,70,56,43,37,32,25,17,15,7,10,1,1,0,0
83,302,167,87,61,58,61,67,51,39,29,26,20,16,7,5,3,0,1,0
84,300,177,87,53,55,52,59,67,41,31,24,22,22,3,5,2,0,0,0
85,300,181,90,59,51,49,51,54,53,35,21,23,16,11,4,2,0,0,0
86,280,180,88,81,49,52,51,51,45,48,20,22,12,13,6,1,1,0,0
87,306,164,106,58,69,46,50,42,45,33,31,21,11,7,7,3,1,0,0
88,320,158,104,64,46,71,39,44,43,34,24,27,13,1,7,4,1,0,0
89,314,178,78,76,52,48,63,36,42,31,32,18,18,6,2,6,0,0,0
90,285,200,93,61,62,52,45,60,26,41,22,22,15,10,1,3,2,0,0
91,313,166,111,56,47,59,50,45,45,21,37,13,20,8,4,1,3,1,0
92,308,187,75,80,52,49,55,41,36,39,19,25,13,12,6,2,1,0,0
93,315,173,101,49,73,46,48,49,30,31,33,14,16,11,9,1,1,0,0
94,307,182,96,73,41,71,40,42,41,24,30,18,12,13,7,2,1,0,0
95,318,173,97,74,59,42,58,38,31,26,26,26,8,10,8,6,0,0,0
96,326,176,87,76,63,53,40,46,35,23,23,22,12,7,7,3,1,0,0
97,337,172,85,57,67,59,51,41,32,30,20,15,21,5,5,2,1,0,0
98,319,195,101,52,43,64,50,42,32,28,26,15,18,10,1,3,1,0,0
99,336,163,118,60,43,51,49,44,39,26,19,24,11,11,5,1,0,0,0
100,302,184,108,78,53,41,50,41,35,35,21,23,14,9,5,1,0,0,0
