0,500,500,0,0,0,0,0,286,174,95,63,75,59,44,49,43,28,24,20,18,16,1,3,2,0,0
1,503,497,28.649289099526065,29.502369668246445,9.95260663507109,50,50,294,164,102,64,61,68,55,37,47,34,19,18,15,15,4,1,1,1,0
2,491,509,29.502369668246445,29.43127962085308,9.028436018957345,55,50,293,178,86,71,54,58,59,50,34,39,22,12,16,14,9,4,0,1,0
3,493,507,31.367924528301888,30.82547169811321,10.495283018867925,55,50,296,178,89,54,68,49,53,57,36,33,31,21,11,11,5,6,1,1,0
4,508,492,31.131221719457013,30.407239819004523,9.457013574660634,50,55,310,171,88,59,46,71,41,50,43,32,30,26,13,7,6,6,1,0,0
5,515,485,31.944444444444443,30.27777777777778,9.537037037037036,55,50,304,181,93,63,46,49,66,37,47,29,27,23,22,5,5,2,1,0,0
6,519,481,30.73008849557522,29.579646017699115,10.265486725663717,50,50,316,176,95,57,59,42,58,52,36,37,20,18,18,11,3,1,1,0,0
7,520,480,30.42654028436019,31.018957345971565,10.165876777251185,55,55,303,176,104,66,53,53,45,52,34,29,31,16,22,7,8,1,0,0,0
8,499,501,29.73568281938326,30.770925110132158,9.845814977973568,55,50,315,177,97,69,53,44,53,33,46,30,28,21,13,15,3,2,1,0,0
9,496,504,28.529411764705884,30.81447963800905,10.83710407239819,50,50,309,187,99,66,52,55,36,41,30,40,26,23,14,10,9,1,2,0,0
10,503,497,27.920353982300885,29.668141592920353,11.216814159292035,55,55,318,174,106,70,58,47,45,35,33,25,30,21,14,13,5,5,1,0,0
11,503,497,28.854625550660792,30.176211453744493,10.220264317180616,50,50,322,178,93,78,57,44,45,41,31,30,23,18,16,11,7,4,2,0,0
12,487,513,28.60730593607306,30.684931506849313,10.38812785388128,50,50,309,193,95,62,67,49,45,40,33,27,25,17,15,13,4,3,3,0,0
13,496,504,28.94736842105263,30.239234449760765,10.526315789473685,55,50,297,186,104,68,49,71,45,29,43,31,24,18,15,11,6,0,3,0,0
