286,174,95,63,75,59,44,49,43,28,24,20,18,16,1,3,2,0,0
294,164,102,64,61,68,55,37,47,34,19,18,15,15,4,1,1,1,0
293,178,86,71,54,58,59,50,34,39,22,12,16,14,9,4,0,1,0
296,178,89,54,68,49,53,57,36,33,31,21,11,11,5,6,1,1,0
310,171,88,59,46,71,41,50,43,32,30,26,13,7,6,6,1,0,0
304,181,93,63,46,49,66,37,47,29,27,23,22,5,5,2,1,0,0
316,176,95,57,59,42,58,52,36,37,20,18,18,11,3,1,1,0,0
303,176,104,66,53,53,45,52,34,29,31,16,22,7,8,1,0,0,0
315,177,97,69,53,44,53,33,46,30,28,21,13,15,3,2,1,0,0
309,187,99,66,52,55,36,41,30,40,26,23,14,10,9,1,2,0,0
318,174,106,70,58,47,45,35,33,25,30,21,14,13,5,5,1,0,0
322,178,93,78,57,44,45,41,31,30,23,18,16,11,7,4,2,0,0
309,193,95,62,67,49,45,40,33,27,25,17,15,13,4,3,3,0,0
297,186,104,68,49,71,45,29,43,31,24,18,15,11,6,0,3,0,0
300,199,99,51,58,46,64,45,22,37,22,24,11,6,9,6,1,0,0
298,189,106,59,45,60,41,53,43,20,28,22,13,9,5,4,5,0,0
312,159,117,64,55,44,50,37,52,32,18,22,18,6,6,4,4,0,0
299,190,90,76,54,55,43,42,31,47,23,8,23,8,3,4,3,1,0
313,186,84,64,63,54,47,33,41,32,38,16,7,16,2,2,0,2,0
317,183,91,59,58,57,54,34,35,30,28,26,8,10,7,1,1,1,0
317,168,99,67,55,50,50,50,33,29,22,27,13,9,5,5,1,0,0
303,180,88,82,56,51,53,35,39,30,22,19,24,9,5,2,2,0,0
293,199,78,65,75,46,44,47,31,33,30,15,21,13,6,2,1,1,0
304,177,106,55,56,63,48,42,29,33,28,17,15,16,8,3,0,0,0
300,185,100,71,49,60,57,35,30,28,25,19,13,13,9,6,0,0,0
313,183,93,75,52,49,51,47,32,25,16,25,12,15,8,3,1,0,0
307,190,100,63,66,42,46,48,37,26,22,16,16,9,9,2,1,0,0
291,196,103,72,49,57,40,46,38,24,30,16,14,10,7,6,0,1,0
287,192,100,73,61,46,60,31,39,31,23,25,12,9,4,6,1,0,0
298,185,82,73,75,52,46,55,22,32,27,16,15,9,7,4,2,0,0
295,171,102,57,69,68,50,33,51,22,28,17,13,10,8,4,2,0,0
279,192,87,68,51,71,61,43,34,40,19,21,10,13,5,3,3,0,0
